cnpj,razao_social,municipio,uf,cnae,score,score_label,contact_quality,site,instagram,linkedin_company,google_maps_url,tech_score,whatsapp_probable,has_whatsapp_link
84784131000105,84784131000105,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=84784131000105++,,False,
84784362000100,84784362000100,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=84784362000100++,,False,
84785005000167,84785005000167,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=84785005000167++,,False,
84785179000120,84785179000120,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=84785179000120++,,False,
84785906000159,84785906000159,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=84785906000159++,,False,
84785997000122,84785997000122,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=84785997000122++,,False,
84797695000174,84797695000174,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=84797695000174++,,False,
84798404000162,84798404000162,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=84798404000162++,,False,
84811686000190,84811686000190,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=84811686000190++,,False,
84813575000113,84813575000113,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=84813575000113++,,False,
84822659000113,84822659000113,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=84822659000113++,,False,
84826544000105,84826544000105,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=84826544000105++,,False,
84834571000111,84834571000111,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=84834571000111++,,False,
84850643000114,84850643000114,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=84850643000114++,,False,
84851427000193,84851427000193,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=84851427000193++,,False,
84851492000119,84851492000119,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=84851492000119++,,False,
84871011000137,84871011000137,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=84871011000137++,,False,
84894336000135,84894336000135,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=84894336000135++,,False,
84898162000189,84898162000189,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=84898162000189++,,False,
84900919000121,84900919000121,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=84900919000121++,,False,
84902006000144,84902006000144,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=84902006000144++,,False,
84922061000287,84922061000287,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=84922061000287++,,False,
84923275000197,84923275000197,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=84923275000197++,,False,
84956366000129,84956366000129,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=84956366000129++,,False,
84972892000182,84972892000182,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=84972892000182++,,False,
84974468000177,84974468000177,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=84974468000177++,,False,
84979913000191,84979913000191,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=84979913000191++,,False,
84980390000101,84980390000101,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=84980390000101++,,False,
84980390000284,84980390000284,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=84980390000284++,,False,
84980390000446,84980390000446,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=84980390000446++,,False,
84981877000109,84981877000109,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=84981877000109++,,False,
84982271000180,84982271000180,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=84982271000180++,,False,
84982453000150,84982453000150,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=84982453000150++,,False,
84983477000124,84983477000124,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=84983477000124++,,False,
84991587000138,84991587000138,,,,50.0,Frio,ok,,,,https://www.google.com/maps/search/?api=1&query=84991587000138++,,False,
